id,"text",weight
45,"methods of producing minimal nets given a logical function in canonical form",1.000000000000000
46,"arithmetic units as required in a digital computer including shift registers serial and parallel adder",1.000000000000000
47,"information on the design of low drift transistor amplifiers",1.000000000000000
48,"information on high current transistor switches",1.000000000000000
49,"information on design of time division multiplexing circuits",1.000000000000000
50,"details of available low voltage capacitors",1.000000000000000
51,"design of direct coupled flip flops to function with the maximum variations in the values of the circuit components",1.000000000000000
52,"please supply information on the performance of typical magnetic film memory systems with circuit diagrams",1.000000000000000
53,"i would like details of the work which has been done to extend the frequency range of magnetic amplifiers",1.000000000000000
54,"i would like information on the range of static relays suitable for use at high switching rates",1.000000000000000
55,"i am interested in circuitry capable of generating extremely narrow pulses",1.000000000000000
56,"please supply information on the theory and use of parametric amplifiers",1.000000000000000
57,"the synthesis of networks with given sampled data transfer functions",1.000000000000000
58,"the theory of stability in relation to control systems with relay elements",1.000000000000000
59,"the use of digital computers to obtain power spectral analysis of numerical data",1.000000000000000
60,"printed circuit design for a random pulse generator of low frequency",1.000000000000000
61,"references on electric field theories of the aurora",1.000000000000000
62,"fast transistor counters",1.000000000000000
63,"low pass lattice filters",1.000000000000000
64,"similarities between the diffraction theory of electromagnetic waves and that of electron streams",1.000000000000000
65,"the use of complex variables in the theory of communication networks",1.000000000000000
66,"the behaviour of a beam of charged particles in the presence of plane conductors",1.000000000000000
67,"predicting the paths of electrons moving in a varying magnetic field",1.000000000000000
68,"active constant voltage transformer for signal distribution",1.000000000000000
69,"active audio frequency filter with variable cut off slope",1.000000000000000
70,"variable ultra high frequency attenuators",1.000000000000000
71,"faulty operation of feedback time bases",1.000000000000000
72,"variable capacitance amplifiers",1.000000000000000
73,"transistor sweep generators",1.000000000000000
74,"advantages of parametric amplifiers",1.000000000000000
75,"optimising linear networks",1.000000000000000
76,"transistor phase splitting circuits",1.000000000000000
77,"please supply information pertinent to the use of surface pretreatment to prevent secondary emission effects in valves",1.000000000000000
78,"i wish to have data about the design of mechanical band pass filters for good pass characteristics",1.000000000000000
79,"mechanisms whereby transmission at high frequencies is affected by weather and time of day",1.000000000000000
80,"could you please give me articles about the possibilities of getting rectification using metallic devices",1.000000000000000
81,"i wish to calculate the inductance and loss in coils made using printed circuit or other miniaturization ideas. a suitable article please",1.000000000000000
82,"analysis of nonlinear systems using phase plane techniques",1.000000000000000
83,"miniature low noise high gain high impedance amplifiers",1.000000000000000
84,"control characteristics of sampling servo systems",1.000000000000000
85,"power spectral density distribution obtained using analogue techniques",1.000000000000000
86,"high stability high input impedance transistorised analogue amplifier",1.000000000000000
87,"electronic specific heat of a superconductor showing a discontinuity at the superconducting critical temperature",1.000000000000000
88,"an abstract on the field distribution surrounding a charged thin circular disc resting on an infinite dielectric slab",1.000000000000000
89,"tunnel diode construction and its electrical characteristics explained",1.000000000000000
90,"electronic density of states at the surface of a semiconductor compared with that at depth",1.000000000000000
91,"resistivity of metallic thin films related to surface roughness",1.000000000000000
92,"the phenomenon of radiation caused by charged particles moving in varying electric and magnetic fields",1.000000000000000
93,"high frequency oscillators using transistors theoretical treatment and practical circuit details",1.000000000000000
